expediente,tipo,objetoContrato,estado,importe,fechas,fechas2,fechas3
SU 22/23,Suministros,Suministro por cuenta abierta de mobiliario urbano para Marbella Nueva Andalucía y Las Chapas,Publicada,99173.56,Present. Oferta:06/10/2022,
D CAE 214/22,Administrativo especial,Contratación de la Explotación del Bar-Cafetería del Centro de Participación Activa para Personas Mayores de Las Chapas en Marbella,Publicada,8883.04,Present. Oferta:05/10/2022,
SU 248/22,Suministros,Contratación del Suministro de Sistema de Estabilizadores y Arriostramiento para Apuntalamiento del Edificio Nº 1 situado en la calle Hospital de Bazán TM Marbella Málaga,Evaluación Previa,68968.31,,
SE 290/22,Servicios,Servicio por cuenta abierta para traducciones de textos a varios idiomas para la Delegación de Turismo del Excmo Ayuntamiento de Marbella,Publicada,1652.89,Present. Oferta:27/09/2022,
CP 282/22,Privado,Contratación del Servicio de Gestión y Producción de las Actuaciones Artísticas en el "Festival Marbepop 2022",Evaluación,18666.00,Present. Oferta:19/09/2022,
PAT 320/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Puestos menores,Evaluación,160.00,Present. Oferta:16/09/2022,
CP 279/22,Privado,Contratación del Servicio de un Sistema Informático para la Gestión del Servicio de Bomberos del Ayuntamiento de Marbella,Evaluación Previa,125208.00,,
PAT 293/22,Patrimonial,Autorización para la instalación y uso de una barra y bebidas con motivo de la celebración del Festival Marbepop 2022,Evaluación,66.08,Present. Oferta:14/09/2022,
PAT 319/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Puestos de alimentación,Evaluación,1790.40,Present. Oferta:16/09/2022,
PAT 318/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Puestos de juegos,Evaluación,1866.00,Present. Oferta:16/09/2022,
PAT 317/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Puestos de turrones,Evaluación,851.20,Present. Oferta:16/09/2022,
PAT 316/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Atracciones mayores,Evaluación,7195.20,Present. Oferta:16/09/2022,
PAT 315/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Atracciones infantil,Evaluación,3785.60,Present. Oferta:16/09/2022,
SE 12/23,Servicios,Servicio de dirección facultativa dirección de obra dirección de ejecución y coordinación de seguridad y salud para las obras de rehabilitación del edificio "Antigua escuela oficial de idiomas" sito en Travesía Huerta los Cristales nº 7 para uso residencial en regimen de vivienda protegida TM Marbella Málaga,Evaluación,29917.36,Present. Oferta:21/09/2022,
PAT 301/22,Patrimonial,Autorización para la Instalación y Uso de Casetas de la Feria y Fiestas de San Pedro Alcántara 2022,Evaluación,1680.00,Present. Oferta:12/09/2022,
SU 284/22,Suministros,Suministro de placas cubrezanjas para los Servicio Operativos de Marbella Nueva Andalucía y Las Chapas durante los años 2022 y 2023,Evaluación,33057.85,Present. Oferta:20/09/2022,
SE 266/22,Servicios,Servicios relacionados con la implementación del proyecto interlaboral y la agenda 2030 para el Excmo Ayuntamiento de Marbella,Evaluación,19173.55,Present. Oferta:21/09/2022,
PAT 300/22,Patrimonial,Autorización de Instalación y Uso de Barras en la Feria y Fiestas de San Pedro Alcántara 2022,Evaluación,201.60,Present. Oferta:12/09/2022,
PAT 299/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Atracciones mayores,Anulada,47129.60,,
CP 262/22 PRUEBA,Privado,Contratación de Patrocinio para la Promoción Turística y Deportiva de la Ciudad mediante la difusión de la Imagen del Logo "Marca Marbella" a través de los deportistas de la entidad deportiva "Olympic Karate Marbella" en las Competiciones Deportivas Federadas en las que participen durante el periodo comprendido entre los años 2022-2023,Evaluación,7733.33,Present. Oferta:15/09/2022,
PAT 298/22,Patrimonial,Autorización de uso común especial sobre los terrenos destinados a la instalación de las atracciones mecánicas y actividades feriales con motivo de la Feria y Fiestas de San Pedro Alcántara a celebrar del 17 al 23 de octubre de 2022 Atracciones infantiles,Anulada,26499.20,,
OB 249/22,Obras,Contratación de la obra denominada "Parque Skate en Sector URP-MB-3 "La Florida" TM Marbella Málaga",Publicada,855218.37,Present. Oferta:28/09/2022,
SE 10/23,Servicios,Servicio de diseño construcción en régimen de alquiler montaje desmontaje transporte almacenaje mantenimiento reserva de espacio y servicios complementarios para el stand de Marbella en la 43º edición de la Feria turística FITU 2023,Evaluación,99903.17,Present. Oferta:15/09/2022,
SU 285/22,Suministros,Suministro de material diverso de cerrajería para los Servicios Operativos de Nueva Andalucía Marbella y Las Chapas durante el año 2022 y 2023,Evaluación,20661.16,Present. Oferta:13/09/2022,
SU 286/22,Suministros,Suministro instalación y reparación de maquinas de aire acondicionado en diversos edificios municipales en cumplimiento del Real Decreto 486/1997 en materia de seguridad y salud en el trabajo,Resuelta,75466.99,Publicación PLACSP: Adjudicación:29/08/2022 Formalización:29/08/2022,
SE 4/23,Servicios,Contratación del Servicio de Conservación de Zonas Verdes Públicas del TM Marbella,Publicada,17107435.00,Present. Oferta:28/09/2022,
CP 261/22,Privado,Contratación de Patrocinio Publicitario para la Promoción Turística de Marbella mediante la difusión del Logo Turístico del Ayuntamiento de Marbella y otras acciones en la Celebración del III Congreso Sutus Space  Underwater Tourism Universal Summit año 2022,Evaluación,10000.00,Present. Oferta:19/09/2022,
SE 244/22,Servicios,Contratación del Servicio por cuenta abierta del Plan de Asfalto para el Excmo Ayuntamiento de Marbella,Evaluación,2066115.64,Present. Oferta:26/09/2022,
CAE 214/22,Administrativo especial,Contratación de la Explotación del Bar-Cafetería del Centro de Participación Activa para Personas Mayores de Las Chapas en Marbella,Resuelta,8883.04,Publicación PLACSP: Adjudicación:20/09/2022,
CP 272/22,Privado,Contratación del Servicio de Organización Gestión y Producción de Actividades Artísticas con motivo del IV Centenario de la Beatificación de San Pedro de Alcántara y El Hermanamiento Institucional con el Municipio de Arenas de San Pedro 2022,Resuelta,27592.01,Publicación PLACSP: Adjudicación:01/09/2022 Formalización:06/09/2022,
